code,name,building,floor,room,description,department_code,map_node
C101,Vice Dean for Student Affairs Office,C,Ground Floor,C101,Vice Dean for Student Affairs,,
C102,College General Secretary Office,C,Ground Floor,C102,College General Secretary,,
C103,Mechanics and CNC Labs,C,Ground Floor,C103,"Theory of Mechanics Lab, CNC Lab, Stress Lab",,
C104,Vice Dean Office,C,Ground Floor,C104,Vice Dean Office,,
C105,Robotics and Mechatronics Labs,C,Ground Floor,C105,"Robotics and Machine Vision Lab, Automatic Control Lab, Prototyping Lab, Festo Pneumonics and Hydraulics Lab",,
C106,ERG Staff Office,C,Ground Floor,C106,Renewable Energy Engineering Department Staff Office,ERG,
C107,Digital Design and Embedded Systems Labs,C,Ground Floor,C107,"Digital Design and Microcontrollers Lab, Introduction to Mechatronics Lab, Industrial Networks and Embedded Systems Lab",,
C108,Fluid Mechatronics Lab,C,Ground Floor,C108,Fluid Mechatronics Lab,,
C109,Teaching Assistants Office,C,Ground Floor,C109,Teaching Assistants Office,,
C110,CBE Staff Office,C,Ground Floor,C110,Civil Engineering Department Staff Office,CBE,
C111,SET Teaching Assistants Office,C,Ground Floor,C111,Software Engineering Department Teaching Assistants Office,SET,
C112,SET Staff Office,C,Ground Floor,C112,Software Engineering Department Staff Office,SET,
C113,MCT Staff Office,C,Ground Floor,C113,Mechatronics Engineering Department Staff Office,MCT,
C114,Dean Secretary Office,C,Ground Floor,C114,Dean Secretary Office,,
C115,Faculty Dean Office,C,Ground Floor,C115,Faculty Dean Office,,
C201,Data Center,C,First Floor,C201,Data Center Administration,,
C202,IT Administration,C,First Floor,C202,IT Department Administration,,
C203,Teaching Assistants Office,C,First Floor,C203,Teaching Assistants Office,,
C204,Engineering Teaching Assistants Office,C,First Floor,C204,Engineering Teaching Assistants Office,,
C205,Staff Room,C,First Floor,C205,Staff Room,,
C206,Chinese Faculty Room,C,First Floor,C206,Chinese Faculty Staff Room,,
C207,Power Electronics and Energy Labs,C,First Floor,C207,"Power Electronics Lab, Motor Drives Lab, Electric and Electronic Measurements Lab, Signals and Systems Lab, Electric and Electronic Circuits Lab",,
C208,Thermodynamics and Heat Transfer Labs,C,First Floor,C208,"Thermodynamics Lab, Heat Transfer Lab",,
C209,Quality Control Administration,C,First Floor,C209,Quality Control Administration,,
C210,Staff Room,C,First Floor,C210,Staff Room,,
C211,PLC and Machine Design Labs,C,First Floor,C211,"PLC Lab, Mechatronics Measurement Lab, Machine Design Lab",,
C212,Staff Room,C,First Floor,C212,Staff Room,,
C213,Control Administration,C,First Floor,C213,Control Administration,,
C214,Control Administration,C,First Floor,C214,Control Administration,,
